experiment_id,timestamp,split,seed,mode,initial_loss,final_loss,steps_to_threshold,converged,diverged,wall_clock_s,delta_w_norm,model.depth,model.width,model.n_params,model.flops,model.activation,model.normalization,model.residual_connection_ratio,model.attention_structure,model.required_memory_bytes,model.init_method,model.weight_norm_mean,model.weight_norm_std,task.input_dim,task.noise_level,task.n_samples,task.target_variance,task.target_entropy_estimate,task.feature_correlation_mean,task.redundancy,task.class_imbalance,task.distribution,hardware.device_type,hardware.device_name,hardware.device_count,hardware.memory_bytes,hardware.precision,hardware.interconnect,regime.regime_model_size,regime.regime_data_noise,regime.regime_data_volume,regime.regime_device,regime.regime_label,training.learning_rate,training.batch_size,training.optimizer,training.weight_decay,training.init_method,zero_cost.synflow,zero_cost.snip,zero_cost.grasp,zero_cost.jacob_cov,zero_cost.effective_rank,zero_cost.hessian_trace,zero_cost.jacobian_condition_mean,zero_cost.jacobian_condition_median,zero_cost.jacobian_sigma_max_mean,zero_cost.gradient_norm,zero_cost.gradient_norm_variance,zero_cost.activation_mean,zero_cost.activation_variance
1,2026-09-01 12:37:22,train,100,full_training,1.1182656288146973,0.045398544520139694,11.0,1,0,0.03990783300832845,2.8361449241638184,2,32,1217,2304,relu,none,0.0,none,19472,xavier,3.998493274052938,2.7725577354431152,3,0.138,384,1.8253250122070312,1.7198175632342114,0.0838538278245174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,85.53611755371094,8.069149017333984,-24.087940216064453,39.20600128173828,12.116669654846191,30.74699878692627,2.414494037628174,2.296313762664795,1.268123984336853,2.6606192588806152,47.589229583740234,0.15381493419408798,0.06664725951850414
2,2026-09-01 12:37:22,train,100,full_training,0.8947207927703857,0.02396816574037075,19.0,1,0,0.021499633992789313,2.661813974380493,2,32,1217,2304,relu,none,0.0,none,19472,he,5.3281480471293134,2.563436269760132,3,0.138,384,1.8253250122070312,1.7198175632342114,0.0838538278245174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,247.24282836914062,21.71025848388672,-96.4232177734375,39.20600128173828,12.11667251586914,142.50017642974854,2.414494037628174,2.2963130474090576,3.0628104209899902,5.222677230834961,217.70761108398438,0.37149839103221893,0.3887757360935211
3,2026-09-01 12:37:22,train,100,full_training,1.3256791830062866,0.025995444506406784,21.0,1,0,0.027679969993187115,4.323987007141113,2,32,1217,2304,relu,none,0.0,none,19472,orthogonal,3.8164965311686196,3.016789674758911,3,0.138,384,1.8253250122070312,1.7198175632342114,0.0838538278245174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,53.49358367919922,7.0512285232543945,-13.274039268493652,34.255550384521484,12.414780616760254,26.475765037536622,1.7520102262496948,1.7029095888137817,1.1636850833892822,2.22941517829895,26.9364070892334,0.1604592129588127,0.062251897528767586
4,2026-09-01 12:37:23,train,101,full_training,3.092975616455078,0.04932062327861786,296.0,1,0,0.42259772299439646,7.574869155883789,2,32,1377,2624,relu,none,0.0,none,22032,xavier,4.944721817970276,2.613090753555298,8,0.254,512,2.014313220977783,1.769077685224744,0.037587676905909494,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,284.1978759765625,14.8740816116333,-139.43145751953125,111.06016540527344,18.1727352142334,61.93371429443359,16.32325553894043,13.190235137939453,2.46403169631958,4.381718635559082,93.44190979003906,0.31602372229099274,0.2813496068120003
5,2026-09-01 12:37:23,train,101,full_training,5.15520715713501,0.049931563436985016,183.0,1,0,0.27982077197520994,6.116885185241699,2,32,1377,2624,relu,none,0.0,none,22032,he,6.131039500236511,3.138056993484497,8,0.254,512,2.014313220977783,1.769077685224744,0.037587676905909494,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,537.7823486328125,43.9675407409668,-1115.41015625,111.06016540527344,18.17274284362793,149.78344268798827,16.32325553894043,13.190239906311035,3.8959765434265137,11.212008476257324,764.76708984375,0.4996773600578308,0.7033740282058716
6,2026-09-01 12:37:23,train,101,full_training,2.41902494430542,0.04706865921616554,225.0,1,0,0.36026675198809244,7.544797420501709,2,32,1377,2624,relu,none,0.0,none,22032,orthogonal,4.333333333333333,2.8674416542053223,8,0.254,512,2.014313220977783,1.769077685224744,0.037587676905909494,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,140.87918090820312,7.01792573928833,-39.411956787109375,119.68306732177734,19.25221061706543,61.713539123535156,6.6328043937683105,4.715435981750488,1.5321621894836426,2.645220994949341,45.935787200927734,0.27774403989315033,0.18466413021087646
7,2026-09-01 12:37:24,train,102,full_training,10.388945579528809,0.04473194107413292,419.0,1,0,0.6892428709834348,10.815069198608398,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,4,0.203,512,8.67843246459961,2.4993589935684906,0.019102676933188813,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,24.36697006225586,-485.8630676269531,87.03591918945312,14.316981315612793,9.663981437683105,3.319448471069336,3.113994598388672,1.612739086151123,11.062403678894043,98.37551879882812,0.20914451777935028,0.12564438581466675
8,2026-09-01 12:37:25,train,102,full_training,13.699686050415039,0.049492351710796356,465.0,1,0,1.1204036909912247,9.858505249023438,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,4,0.203,512,8.67843246459961,2.4993589935684906,0.019102676933188813,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,225.21484375,76.1374740600586,-3744.8837890625,87.03591918945312,14.316981315612793,92.06339111328126,3.319448471069336,3.1139941215515137,3.4211361408233643,25.55948829650879,682.7422485351562,0.44366252422332764,0.565399706363678
9,2026-09-01 12:37:26,train,102,full_training,9.665803909301758,0.04132769629359245,266.0,1,0,0.6260591130121611,10.364007949829102,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,4,0.203,512,8.67843246459961,2.4993589935684906,0.019102676933188813,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,18.35737419128418,-290.4862976074219,81.26355743408203,15.580216407775879,-24.914727020263673,2.0833377838134766,2.0384793281555176,1.2320257425308228,9.19994068145752,54.03138732910156,0.1920376420021057,0.09819643199443817
10,2026-09-01 12:37:26,train,103,full_training,2.6192755699157715,0.04570798948407173,66.0,1,0,0.13721210401854478,5.165410995483398,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,5,0.28,384,1.973253607749939,1.7587804121714583,0.04103959488929174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,12.304842948913574,-82.7269058227539,106.70223999023438,17.013973236083984,53.76186046600342,3.946666717529297,3.671172857284546,1.7146878242492676,3.6366193294525146,114.12537384033203,0.2409358024597168,0.16195622086524963
